SPY Daily Returns for the past 30 days:
             Adj Close  Daily Return  SPY Allocation  SH Allocation  Portfolio Return
Date                                                                                 
2024-04-09  519.320007      0.001157          100.00           0.00          0.001157
2024-04-10  514.119995     -0.010013          100.00           0.00         -0.010013
2024-04-11  518.000000      0.007547          100.00           0.00          0.007547
2024-04-12  510.850006     -0.013803          100.00           0.00         -0.013803
2024-04-15  504.450012     -0.012528          100.00           0.00         -0.012528
2024-04-16  503.529999     -0.001824          100.00           0.00         -0.001824
2024-04-17  500.549988     -0.005918          100.00           0.00         -0.005918
2024-04-18  499.519989     -0.002058           56.67          43.33         -0.000275
2024-04-19  495.160004     -0.008728          100.00           0.00         -0.008728
2024-04-22  499.720001      0.009209          100.00           0.00          0.009209
2024-04-23  505.649994      0.011867          100.00           0.00          0.011867
2024-04-24  505.410004     -0.000475          100.00           0.00         -0.000475
2024-04-25  503.489990     -0.003799          100.00           0.00         -0.003799
2024-04-26  508.260010      0.009474          100.00           0.00          0.009474
2024-04-29  510.059998      0.003541          100.00           0.00          0.003541
2024-04-30  501.980011     -0.015841          100.00           0.00         -0.015841
2024-05-01  500.350006     -0.003247          100.00           0.00         -0.003247
2024-05-02  505.029999      0.009353          100.00           0.00          0.009353
2024-05-03  511.290009      0.012395          100.00           0.00          0.012395
2024-05-06  516.570007      0.010327          100.00           0.00          0.010327
2024-05-07  517.140015      0.001103          100.00           0.00          0.001103
2024-05-08  517.190002      0.000097           73.33          26.67          0.000045
2024-05-09  520.169983      0.005762          100.00           0.00          0.005762
2024-05-10  520.840027      0.001288          100.00           0.00          0.001288
2024-05-13  520.909973      0.000134          100.00           0.00          0.000134
2024-05-14  523.299988      0.004588          100.00           0.00          0.004588
2024-05-15  529.780029      0.012383          100.00           0.00          0.012383
2024-05-16  528.690002     -0.002058          100.00           0.00         -0.002058
2024-05-17  529.450012      0.001438          100.00           0.00          0.001438
2024-05-17  529.450012      0.000000          100.00           0.00          0.000000
Data update and preparation complete. Prepared data saved to CSV files.

Sharpe Ratio for the optimized strategy: -2.3706651800722103


** using errr riks of 0.5%
