Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,SPY Allocation,SH Allocation,VIX Level,Portfolio Return
2006-01-03,125.19000244140625,127.0,124.38999938964844,126.69999694824219,89.34784698486328,73256700,,1.0,0.0,0,
2006-01-04,126.86000061035156,127.48999786376953,126.69999694824219,127.30000305175781,89.77100372314453,51899600,0.004736059710011231,1.0,0.0,0,0.004736059710011231
2006-01-05,127.1500015258789,127.58999633789062,126.87999725341797,127.37999725341797,89.8273696899414,47307500,0.000627886115328602,1.0,0.0,0,0.000627886115328602
2006-01-06,128.02000427246094,128.5800018310547,127.36000061035156,128.44000244140625,90.57488250732422,62885900,0.008321659867844389,0.9899999999999997,0.010000000000000342,11,0.008155226670487497
2006-01-09,128.4199981689453,129.05999755859375,128.3800048828125,128.77000427246094,90.80757904052734,43527400,0.0025691066525459494,1.0,0.0,0,0.0025691066525459494
2006-01-10,128.38999938964844,128.97999572753906,128.25999450683594,128.89999389648438,90.89927673339844,44960800,0.0010098021975695204,1.0,0.0,0,0.0010098021975695204
2006-01-11,129.02000427246094,129.44000244140625,128.72999572753906,129.30999755859375,91.18840789794922,49598900,0.0031807861947987792,1.0,0.0,0,0.0031807861947987792
2006-01-12,129.0800018310547,129.27999877929688,128.44000244140625,128.8000030517578,90.82875061035156,40509200,-0.003944111931421745,1.0,0.0,0,-0.003944111931421745
2006-01-13,128.57000732421875,128.89999389648438,128.1999969482422,128.67999267578125,90.74412536621094,44856700,-0.0009317010701123118,1.0,0.0,0,-0.0009317010701123118
2006-01-17,128.1999969482422,128.4199981689453,127.80999755859375,128.3300018310547,90.49729919433594,52066600,-0.0027200237026793195,1.0,0.0,0,-0.0027200237026793195
2006-01-18,127.58000183105469,128.89999389648438,127.16000366210938,127.81999969482422,90.13766479492188,75067600,-0.003973979363094293,1.0,0.0,0,-0.003973979363094293
2006-01-19,128.1300048828125,128.77000427246094,127.80999755859375,128.30999755859375,90.48318481445312,81530400,0.003833247958191066,1.0,0.0,0,0.003833247958191066
2006-01-20,128.27999877929688,128.30999755859375,125.97000122070312,125.97000122070312,88.83306121826172,114957800,-0.018236798357343265,1.0,0.0,0,-0.018236798357343265
2006-01-23,126.20999908447266,126.81999969482422,126.12999725341797,126.41999816894531,89.15039825439453,67017400,0.003572285270605713,1.0,0.0,0,0.003572285270605713
2006-01-24,126.62999725341797,127.1500015258789,126.41999816894531,126.55000305175781,89.2420654296875,53008800,0.0010282306875555314,1.0,0.0,0,0.0010282306875555314
2006-01-25,127.04000091552734,127.18000030517578,125.83999633789062,126.66000366210938,89.31964111328125,87747700,0.0008692726151084962,1.0,0.0,0,0.0008692726151084962
2006-01-26,127.25,127.66999816894531,126.76000213623047,127.36000061035156,89.81327819824219,71294000,0.005526635338076069,1.0,0.0,0,0.005526635338076069
2006-01-27,127.66000366210938,128.66000366210938,127.44999694824219,128.5399932861328,90.64539337158203,65771200,0.00926494600835226,1.0,0.0,0,0.00926494600835226
2006-01-30,128.44000244140625,128.80999755859375,128.35000610351562,128.44000244140625,90.57488250732422,33709600,-0.0007778758703023136,1.0,0.0,0,-0.0007778758703023136
2006-01-31,128.32000732421875,128.5399932861328,127.48999786376953,127.5,89.9120101928711,72937000,-0.0073185004065505765,1.0,0.0,0,-0.0073185004065505765
2006-02-01,127.81999969482422,128.42999267578125,127.72000122070312,128.38999938964844,90.53964233398438,63561000,0.006980515058744086,1.0,0.0,0,0.006980515058744086
2006-02-02,128.10000610351562,128.13999938964844,126.80000305175781,126.9000015258789,89.4888916015625,83626900,-0.011605421728372312,1.0,0.0,0,-0.011605421728372312
2006-02-03,126.58000183105469,128.38999938964844,126.13999938964844,126.2699966430664,89.04461669921875,86040400,-0.004964581574234073,1.0,0.0,0,-0.004964581574234073
